"spp","branch","age","temp","duration","treatment","EC.control","survival.control","EC.treatment","survival.treatment","survival_final","groupVar","season"
"PIPO",1,"n","65",5,"65_5_n",7.1063702679058,92.8936297320942,11.4776284777173,88.5223715222828,88.9087440397686,"65_n","autumn"
"PIPO",2,"n","65",5,"65_5_n",7.10130406423374,92.8986959357663,13.5609260848104,86.4390739151896,83.6108025101862,"65_n","autumn"
"PIPO",3,"n","65",5,"65_5_n",7.156063920593,92.843936079407,7.30960854092527,92.6903914590747,99.6102005152049,"65_n","autumn"
"PIPO",4,"n","65",10,"65_10_n",6.69191394790077,93.3080860520992,6.98390491850524,93.0160950814948,99.2624179478866,"65_n","autumn"
"PIPO",5,"n","65",10,"65_10_n",6.5345988136986,93.4654011863014,8.8178599048762,91.1821400951238,94.2420896154363,"65_n","autumn"
"PIPO",6,"n","65",10,"65_10_n",9.0204032748111,90.9795967251889,17.9483040210243,82.0516959789757,76.8705372139099,"65_n","autumn"
"PIPO",7,"n","65",30,"65_30_n",5.7629689876204,94.2370310123796,29.3692842236332,70.6307157763668,40.9572187332116,"65_n","autumn"
"PIPO",8,"n","65",30,"65_30_n",5.22818791946309,94.7718120805369,26.5437001738682,73.4562998261318,46.9876826367201,"65_n","autumn"
"PIPO",9,"n","65",30,"65_30_n",6.69236700077101,93.307632999229,27.8317334839074,72.1682665160926,46.6007699300394,"65_n","autumn"
"PIPO",10,"n","65",50,"65_50_n",9.52533442028966,90.4746655797103,38.657521067096,61.342478932904,24.1062002495161,"65_n","autumn"
"PIPO",11,"n","65",50,"65_50_n",7.22893342077902,92.771066579221,36.0271692164538,63.9728307835462,26.8332889250958,"65_n","autumn"
"PIPO",12,"n","65",50,"65_50_n",10.8112957895363,89.1887042104637,50.9188702300389,49.0811297699611,-5.992892434495,"65_n","autumn"
"PIPO",13,"n","65",2,"65_2_n",6.54367102201778,93.4563289779822,8.8691208456229,91.1308791543771,94.1351291191456,"65_n","autumn"
"PIPO",14,"n","65",2,"65_2_n",7.68887027246557,92.3111297275344,9.64479042704701,90.355209572953,95.0058997540915,"65_n","autumn"
"PIPO",15,"n","65",2,"65_2_n",7.9602255214834,92.0397744785166,8.76962995816231,91.2303700418377,97.9272341989278,"65_n","autumn"
"PIPO",16,"n","65",70,"65_70_n",8.10358349700547,91.8964165029945,44.529664701345,55.470335298655,6.57264048593268,"65_n","autumn"
"PIPO",17,"n","65",70,"65_70_n",6.99842564896792,93.0015743510321,45.7219063230543,54.2780936769457,1.86039934245872,"65_n","autumn"
"PIPO",18,"n","65",70,"65_70_n",9.3266648025967,90.6733351974033,45.583859827544,54.416140172456,5.75142080067129,"65_n","autumn"
"PIPO",90,"n","65",90,"65_90_n",10.3956676450627,89.6043323549373,44.0953215496788,55.9046784503212,11.3545125997676,"65_n","autumn"
"PIPO",91,"n","65",90,"65_90_n",8.07878169322979,91.9212183067702,48.8689743838612,51.1310256161388,-4.59241358072283,"65_n","autumn"
"PIPO",92,"n","65",90,"65_90_n",10.1592519297581,89.8407480702419,50.8532409363124,49.1467590636876,-6.76209901904483,"65_n","autumn"
"PIPO",1004,"n","65",0,"65_0_n",0,100,0,100,100,"65_n","autumn"
"PIPO",1,"o","65",5,"65_5_o",6.62654109673197,93.373458903268,8.4292057885232,91.5707942114768,94.7773976152185,"65_o","autumn"
"PIPO",2,"o","65",5,"65_5_o",9.74909767484334,90.2509023251567,11.3312791705095,88.6687208294905,95.2575779026661,"65_o","autumn"
"PIPO",3,"o","65",5,"65_5_o",7.20064724919094,92.7993527508091,8.68512342173773,91.3148765782623,95.6726328768781,"65_o","autumn"
"PIPO",4,"o","65",10,"65_10_o",10.7854788366734,89.2145211633266,8.19657687212524,91.8034231278748,107.8501058632,"65_o","autumn"
"PIPO",5,"o","65",10,"65_10_o",7.53635435110155,92.4636456488984,10.0056497175141,89.9943502824859,92.7756714954462,"65_o","autumn"
"PIPO",6,"o","65",10,"65_10_o",7.44523939774005,92.5547606022599,9.40093111232101,90.599068887679,94.2839358870957,"65_o","autumn"
"PIPO",7,"o","65",30,"65_30_o",5.58936190433555,94.4106380956645,16.609179520964,83.390820479036,68.4245948950548,"65_o","autumn"
"PIPO",8,"o","65",30,"65_30_o",6.20558348160219,93.7944165183978,21.2585291887794,78.7414708112206,56.584983895912,"65_o","autumn"
"PIPO",9,"o","65",30,"65_30_o",6.20106335173233,93.7989366482677,19.5633802816901,80.4366197183099,61.4628751072476,"65_o","autumn"
"PIPO",10,"o","65",50,"65_50_o",7.71665324457527,92.2833467554247,33.6518437246562,66.3481562753438,23.9741012356348,"65_o","autumn"
"PIPO",11,"o","65",50,"65_50_o",9.1484081516863,90.8515918483137,27.1737863176232,72.8262136823768,46.328059062619,"65_o","autumn"
"PIPO",12,"o","65",50,"65_50_o",9.78847819745207,90.2115218025479,41.0796740158652,58.9203259841348,6.16699851412975,"65_o","autumn"
"PIPO",13,"o","65",2,"65_2_o",9.20435545270142,90.7956445472986,9.53785811201427,90.4621418879857,99.006358452361,"65_o","autumn"
"PIPO",14,"o","65",2,"65_2_o",8.15368230718628,91.8463176928137,9.25136707508792,90.7486329249121,96.7669580053757,"65_o","autumn"
"PIPO",15,"o","65",2,"65_2_o",9.92710304663863,90.0728969533614,9.74222214089731,90.2577778591027,100.555256161546,"65_o","autumn"
"PIPO",16,"o","65",70,"65_70_o",8.33913135567128,91.6608686443287,30.1025592426435,69.8974407573565,35.7698717172331,"65_o","autumn"
"PIPO",17,"o","65",70,"65_70_o",7.90390432346427,92.0960956765357,39.7320232051417,60.2679767948583,6.50998924926616,"65_o","autumn"
"PIPO",18,"o","65",70,"65_70_o",8.3866337549662,91.6133662450338,46.9608455667144,53.0391544332856,-13.9026103252795,"65_o","autumn"
"PIPO",90,"o","65",90,"65_90_o",10.6308880559002,89.3691119440998,41.4756663563312,58.5243336436688,6.63380332079689,"65_o","autumn"
"PIPO",91,"o","65",90,"65_90_o",7.81926316758656,92.1807368324134,41.5895594923998,58.4104405076002,0.896235084725495,"65_o","autumn"
"PIPO",92,"o","65",90,"65_90_o",9.52288072966107,90.4771192703389,45.4873046483351,54.5126953516649,-7.5300384055224,"65_o","autumn"
"PIPO",1004,"o","65",0,"65_0_o",0,100,0,100,100,"65_o","autumn"
"PIPO",19,"n","60",5,"60_5_n",8.62963214052033,91.3703678594797,7.65143639606878,92.3485636039312,101.164276453153,"60_n","autumn"
"PIPO",20,"n","60",5,"60_5_n",7.43937269450145,92.5606273054986,6.56994845250572,93.4300515474943,100.937946998573,"60_n","autumn"
"PIPO",21,"n","60",5,"60_5_n",7.86931151571863,92.1306884842814,8.54664509107392,91.4533549089261,98.0511058501324,"60_n","autumn"
"PIPO",22,"n","60",5,"60_5_n",8.78484114543828,91.2151588545617,8.74457155693812,91.2554284430619,99.39468989882,"60_n","autumn"
"PIPO",23,"n","60",10,"60_10_n",7.93865841645147,92.0613415835485,7.97615871870675,92.0238412812932,99.2483524033673,"60_n","autumn"
"PIPO",24,"n","60",10,"60_10_n",8.31709384077973,91.6829061592203,8.17263596993341,91.8273640300666,99.5902179846382,"60_n","autumn"
"PIPO",25,"n","60",10,"60_10_n",8.34080717488789,91.6591928251121,7.36103287683922,92.6389671231608,101.161429611995,"60_n","autumn"
"PIPO",26,"n","60",20,"60_20_n",8.06981446568418,91.9301855343158,13.0431169185944,86.9568830814056,89.9919000031522,"60_n","autumn"
"PIPO",27,"n","60",20,"60_20_n",9.40114809874435,90.5988519012557,9.64575606020209,90.3542439397979,98.8531121614261,"60_n","autumn"
"PIPO",28,"n","60",20,"60_20_n",11.1560845532853,88.8439154467147,13.0906434443218,86.9093565556782,95.564576110028,"60_n","autumn"
"PIPO",29,"n","60",65,"60_65_n",6.67029796460761,93.3297020353924,34.4306566930105,65.5693433069895,48.0388802635228,"60_n","autumn"
"PIPO",30,"n","60",65,"60_65_n",7.49790508129695,92.5020949187031,40.4430295414214,59.5569704585786,37.9169555857387,"60_n","autumn"
"PIPO",31,"n","60",65,"60_65_n",9.59646049986289,90.4035395001371,57.3455324510148,42.6544675489852,8.26023061697894,"60_n","autumn"
"PIPO",32,"n","60",110,"60_110_n",6.77970408322196,93.220295916778,49.2942148858773,50.7057851141227,20.6924349707887,"60_n","autumn"
"PIPO",33,"n","60",110,"60_110_n",8.21325644330781,91.7867435566922,59.0137784785778,40.9862215214222,3.90098067085828,"60_n","autumn"
"PIPO",84,"n","60",200,"60_200_n",9.57161171057925,90.4283882894208,58.5875381136039,41.4124618863961,5.8700019240799,"60_n","autumn"
"PIPO",85,"n","60",200,"60_200_n",9.28345835864464,90.7165416413554,65.9112565986511,34.0887434013489,-8.29905960454877,"60_n","autumn"
"PIPO",86,"n","60",200,"60_200_n",8.0271866859653,91.9728133140347,59.7159347570878,40.2840652429122,2.42905768046888,"60_n","autumn"
"PIPO",87,"n","60",155,"60_155_n",9.72807059160881,90.2719294083912,56.716108763566,43.283891236434,9.58089512732666,"60_n","autumn"
"PIPO",89,"n","60",155,"60_155_n",8.00669305182732,91.9933069481727,60.3898862378338,39.6101137621662,1.14920862030067,"60_n","autumn"
"PIPO",96,"n","60",155,"60_155_n",10.0656869830248,89.9343130169752,58.0544908318657,41.9455091681343,7.32558119935838,"60_n","autumn"
"PIPO",97,"n","60",110,"60_110_n",9.8014888337469,90.1985111662531,63.7296037296037,36.2703962703963,-3.75708428728432,"60_n","autumn"
"PIPO",1003,"n","60",0,"60_0_n",0,100,0,100,99.3185783713048,"60_n","autumn"
"PIPO",19,"o","60",5,"60_5_o",9.90881902554167,90.0911809744583,8.89590845073452,91.1040915492655,102.085761391547,"60_o","autumn"
"PIPO",21,"o","60",5,"60_5_o",9.92278391939935,90.0772160806006,10.542813475515,89.457186524485,97.3544199538423,"60_o","autumn"
"PIPO",22,"o","60",5,"60_5_o",9.07680089993735,90.9231991000626,9.57356941297823,90.4264305870218,97.7249890084984,"60_o","autumn"
"PIPO",23,"o","60",10,"60_10_o",9.17464996315402,90.825350036846,10.2939994451713,89.7060005548287,95.9342500930021,"60_o","autumn"
"PIPO",24,"o","60",10,"60_10_o",10.7473982970672,89.2526017029328,8.89652734811603,91.103472651884,104.563939457826,"60_o","autumn"
"PIPO",25,"o","60",10,"60_10_o",7.77908035466011,92.2209196453399,7.65516630563013,92.3448336943699,99.5018104491722,"60_o","autumn"
"PIPO",26,"o","60",20,"60_20_o",9.52979982467303,90.470200175327,9.83038887615955,90.1696111238405,98.2838512895155,"60_o","autumn"
"PIPO",27,"o","60",20,"60_20_o",9.9591470066092,90.0408529933908,9.92301643377417,90.0769835662258,99.2558278041855,"60_o","autumn"
"PIPO",28,"o","60",20,"60_20_o",7.49087822668808,92.5091217733119,10.3009670375805,89.6990329624195,91.2223118868533,"60_o","autumn"
"PIPO",29,"o","60",65,"60_65_o",8.88815400874763,91.1118459912524,39.2596916408,60.7403083592,12.1423899486587,"60_o","autumn"
"PIPO",30,"o","60",65,"60_65_o",7.69751965830861,92.3024803416914,28.970447048471,71.029552951529,38.9943027817061,"60_o","autumn"
"PIPO",31,"o","60",65,"60_65_o",10.7684581224824,89.2315418775176,42.3134225442322,57.6865774557678,6.87644339165218,"60_o","autumn"
"PIPO",32,"o","60",110,"60_110_o",7.58976071440039,92.4102392855996,43.2069215718376,56.7930784281624,-1.45168232471297,"60_o","autumn"
"PIPO",33,"o","60",110,"60_110_o",9.35349880653132,90.6465011934687,37.6843526812794,62.3156473187206,17.5719045041969,"60_o","autumn"
"PIPO",84,"o","60",200,"60_200_o",9.17372943763629,90.8262705623637,42.7156565112354,57.2843434887646,2.75769544459512,"60_o","autumn"
"PIPO",85,"o","60",200,"60_200_o",9.10589789646642,90.8941021035336,40.4588135239013,59.5411864760987,9.1157567988048,"60_o","autumn"
"PIPO",86,"o","60",200,"60_200_o",10.033854970807,89.966145029193,48.3011141068954,51.6988858931046,-11.8734522433999,"60_o","autumn"
"PIPO",87,"o","60",155,"60_155_o",9.56470007319334,90.4352999268067,42.3672984882376,57.6327015117624,4.47484824167049,"60_o","autumn"
"PIPO",89,"o","60",155,"60_155_o",9.28350738424064,90.7164926157594,39.1094151613432,60.8905848386568,13.3331340020329,"60_o","autumn"
"PIPO",96,"o","60",155,"60_155_o",11.2030116955727,88.7969883044273,42.5999121651296,57.4000878348704,6.8601039294595,"60_o","autumn"
"PIPO",97,"o","60",110,"60_110_o",9.78306655433867,90.2169334456613,47.9555555555556,52.0444444444444,-11.2906304347838,"60_o","autumn"
"PIPO",1003,"o","60",0,"60_0_o",0,100,0,100,99.1510893910192,"60_o","autumn"
"PIPO",35,"n","55",25,"55_25_n",7.03507084984922,92.9649291501508,7.65376661374992,92.3462333862501,98.9664270290356,"55_n","autumn"
"PIPO",36,"n","55",25,"55_25_n",8.045036181829,91.954963818171,9.33871653790391,90.6612834620961,97.8150829712055,"55_n","autumn"
"PIPO",37,"n","55",25,"55_25_n",7.48735620266089,92.5126437973391,8.60715998001758,91.3928400199824,98.1201466114742,"55_n","autumn"
"PIPO",38,"n","55",50,"55_50_n",8.29101987721897,91.708980122781,8.26511073353024,91.7348892664698,100.043875728403,"55_n","autumn"
"PIPO",39,"n","55",50,"55_50_n",7.83933641864906,92.1606635813509,7.73691550217719,92.2630844978228,100.172594204356,"55_n","autumn"
"PIPO",40,"n","55",50,"55_50_n",6.86826681447899,93.131733185521,8.10110314828492,91.8988968517151,97.9441525587549,"55_n","autumn"
"PIPO",41,"n","55",500,"55_500_n",7.70721270636244,92.2927872936376,62.262253331924,37.737746668076,8.19839692446749,"55_n","autumn"
"PIPO",42,"n","55",500,"55_500_n",8.05960990020267,91.9403900997973,66.0904677474856,33.9095322525144,1.97523897773548,"55_n","autumn"
"PIPO",43,"n","55",500,"55_500_n",8.4745231117108,91.5254768882892,64.4585332610894,35.5414667389106,5.00403755331643,"55_n","autumn"
"PIPO",44,"n","55",380,"55_380_n",9.5985401459854,90.4014598540146,48.6354534162023,51.3645465837977,32.9369702852026,"55_n","autumn"
"PIPO",45,"n","55",380,"55_380_n",6.87088738535429,93.1291126146457,56.1163561084649,43.8836438915351,17.8771610406808,"55_n","autumn"
