"species","season","age","temperature","duration","survival","groupVar"
"PIPO","spring","n",45,6000,51.9806252219001,"PIPO_spring_n"
"PIPO","spring","n",45,6000,43.1570195263777,"PIPO_spring_n"
"PIPO","spring","n",45,6000,24.4294666917814,"PIPO_spring_n"
"PIPO","spring","n",45,4750,68.2420908286758,"PIPO_spring_n"
"PIPO","spring","n",45,4750,38.9327529762571,"PIPO_spring_n"
"PIPO","spring","n",45,4750,46.3177788206685,"PIPO_spring_n"
"PIPO","spring","n",45,3500,73.6495013828191,"PIPO_spring_n"
"PIPO","spring","n",45,3500,58.7366258524605,"PIPO_spring_n"
"PIPO","spring","n",45,3500,75.7871205663733,"PIPO_spring_n"
"PIPO","spring","n",45,2250,78.5651920202314,"PIPO_spring_n"
"PIPO","spring","n",45,2250,72.4954272570638,"PIPO_spring_n"
"PIPO","spring","n",45,2250,69.1178473386673,"PIPO_spring_n"
"PIPO","spring","n",45,1000,81.1898213314766,"PIPO_spring_n"
"PIPO","spring","n",45,1000,86.358205459093,"PIPO_spring_n"
"PIPO","spring","n",45,1000,92.1148504687321,"PIPO_spring_n"
"PIPO","spring","n",45,10200,-15.5761012725149,"PIPO_spring_n"
"PIPO","spring","n",45,10200,8.56136317656808,"PIPO_spring_n"
"PIPO","spring","n",45,10200,7.01473809594683,"PIPO_spring_n"
"PIPO","spring","n",45,500,81.8614678994273,"PIPO_spring_n"
"PIPO","spring","n",45,500,95.221672872325,"PIPO_spring_n"
"PIPO","spring","n",45,500,98.8907879928349,"PIPO_spring_n"
"PIPO","spring","n",45,0,100,"PIPO_spring_n"
"PIPO","spring","o",45,6000,23.9343726612754,"PIPO_spring_o"
"PIPO","spring","o",45,6000,53.6235078956583,"PIPO_spring_o"
"PIPO","spring","o",45,6000,47.1023364644188,"PIPO_spring_o"
"PIPO","spring","o",45,4750,43.0371976140519,"PIPO_spring_o"
"PIPO","spring","o",45,4750,40.2285281248983,"PIPO_spring_o"
"PIPO","spring","o",45,4750,56.1256277282033,"PIPO_spring_o"
"PIPO","spring","o",45,3500,72.0491356887659,"PIPO_spring_o"
"PIPO","spring","o",45,3500,90.3269194038042,"PIPO_spring_o"
"PIPO","spring","o",45,3500,58.6715103677666,"PIPO_spring_o"
"PIPO","spring","o",45,2250,95.2830103007792,"PIPO_spring_o"
"PIPO","spring","o",45,2250,97.9847375027545,"PIPO_spring_o"
"PIPO","spring","o",45,2250,96.4980578912503,"PIPO_spring_o"
"PIPO","spring","o",45,1000,96.0342616853223,"PIPO_spring_o"
"PIPO","spring","o",45,1000,97.7067417598812,"PIPO_spring_o"
"PIPO","spring","o",45,1000,100.812684396497,"PIPO_spring_o"
"PIPO","spring","o",45,10200,-3.82390582200812,"PIPO_spring_o"
"PIPO","spring","o",45,10200,-3.91754512812367,"PIPO_spring_o"
"PIPO","spring","o",45,10200,7.74145095013179,"PIPO_spring_o"
"PIPO","spring","o",45,500,95.7980532453372,"PIPO_spring_o"
"PIPO","spring","o",45,500,97.9604683791317,"PIPO_spring_o"
"PIPO","spring","o",45,500,98.9295969528045,"PIPO_spring_o"
"PIPO","spring","o",45,0,100,"PIPO_spring_o"
"PIPO","spring","n",50,3170,21.3199657074982,"PIPO_spring_n"
"PIPO","spring","n",50,1375,30.5179382749481,"PIPO_spring_n"
"PIPO","spring","n",50,1375,20.5963731094455,"PIPO_spring_n"
"PIPO","spring","n",50,1375,11.2238463691368,"PIPO_spring_n"
"PIPO","spring","n",50,500,35.7318338986458,"PIPO_spring_n"
"PIPO","spring","n",50,500,47.0941343525215,"PIPO_spring_n"
"PIPO","spring","n",50,500,71.3619958745129,"PIPO_spring_n"
"PIPO","spring","n",50,3170,-15.356853584937,"PIPO_spring_n"
"PIPO","spring","n",50,2250,9.96412846167945,"PIPO_spring_n"
"PIPO","spring","n",50,2250,7.95528770554108,"PIPO_spring_n"
"PIPO","spring","n",50,2250,-14.8226628335796,"PIPO_spring_n"
"PIPO","spring","n",50,3170,-5.96311212256121,"PIPO_spring_n"
"PIPO","spring","n",50,250,98.6540128931834,"PIPO_spring_n"
"PIPO","spring","n",50,250,100.93543288536,"PIPO_spring_n"
"PIPO","spring","n",50,250,89.4021316901618,"PIPO_spring_n"
"PIPO","spring","n",50,0,100,"PIPO_spring_n"
"PIPO","spring","o",50,3170,34.9669393091454,"PIPO_spring_o"
"PIPO","spring","o",50,2250,6.29032277645565,"PIPO_spring_o"
"PIPO","spring","o",50,1375,-4.01242846753469,"PIPO_spring_o"
"PIPO","spring","o",50,1375,4.2440444342666,"PIPO_spring_o"
"PIPO","spring","o",50,1375,21.633772508814,"PIPO_spring_o"
"PIPO","spring","o",50,500,68.3326366857627,"PIPO_spring_o"
"PIPO","spring","o",50,500,93.1174428557133,"PIPO_spring_o"
"PIPO","spring","o",50,500,84.7253122535678,"PIPO_spring_o"
"PIPO","spring","o",50,3170,6.81734911125578,"PIPO_spring_o"
"PIPO","spring","o",50,2250,-3.70102344959363,"PIPO_spring_o"
"PIPO","spring","o",50,2250,-2.58929932686202,"PIPO_spring_o"
"PIPO","spring","o",50,3170,15.0899634510508,"PIPO_spring_o"
"PIPO","spring","o",50,250,98.7809529192434,"PIPO_spring_o"
"PIPO","spring","o",50,250,99.5061674360812,"PIPO_spring_o"
"PIPO","spring","o",50,250,100.084335104569,"PIPO_spring_o"
"PIPO","spring","o",50,0,100,"PIPO_spring_o"
"PIPO","spring","n",55,500,-7.01114324390413,"PIPO_spring_n"
"PIPO","spring","n",55,500,20.4025966635626,"PIPO_spring_n"
"PIPO","spring","n",55,380,1.50828353045654,"PIPO_spring_n"
"PIPO","spring","n",55,380,1.59297896818416,"PIPO_spring_n"
"PIPO","spring","n",55,380,-3.10126249864071,"PIPO_spring_n"
"PIPO","spring","n",55,270,22.0519358060387,"PIPO_spring_n"
"PIPO","spring","n",55,270,1.23539781517673,"PIPO_spring_n"
"PIPO","spring","n",55,160,56.9872363856845,"PIPO_spring_n"
"PIPO","spring","n",55,500,8.9619460744964,"PIPO_spring_n"
"PIPO","spring","n",55,270,42.312261552138,"PIPO_spring_n"
"PIPO","spring","n",55,160,62.5498912741903,"PIPO_spring_n"
"PIPO","spring","n",55,25,99.1405732423033,"PIPO_spring_n"
"PIPO","spring","n",55,25,99.9717860283906,"PIPO_spring_n"
"PIPO","spring","n",55,160,82.1424419182887,"PIPO_spring_n"
"PIPO","spring","n",55,50,91.6410349119809,"PIPO_spring_n"
"PIPO","spring","n",55,50,95.3326309874318,"PIPO_spring_n"
"PIPO","spring","n",55,25,95.2477805920305,"PIPO_spring_n"
"PIPO","spring","n",55,620,6.01676588612239,"PIPO_spring_n"
"PIPO","spring","n",55,620,8.52808056320795,"PIPO_spring_n"
"PIPO","spring","n",55,620,-4.57439751988488,"PIPO_spring_n"
"PIPO","spring","n",55,0,100,"PIPO_spring_n"
"PIPO","spring","o",55,500,6.54515675832599,"PIPO_spring_o"
"PIPO","spring","o",55,500,-4.82559530052817,"PIPO_spring_o"
"PIPO","spring","o",55,50,94.0858453925552,"PIPO_spring_o"
"PIPO","spring","o",55,270,55.6277416018034,"PIPO_spring_o"
"PIPO","spring","o",55,160,92.0753646899685,"PIPO_spring_o"
"PIPO","spring","o",55,500,12.8193083738924,"PIPO_spring_o"
"PIPO","spring","o",55,380,11.6277598930111,"PIPO_spring_o"
"PIPO","spring","o",55,380,14.105460398877,"PIPO_spring_o"
"PIPO","spring","o",55,270,68.2016780254696,"PIPO_spring_o"
"PIPO","spring","o",55,270,62.4299543038462,"PIPO_spring_o"
"PIPO","spring","o",55,25,99.6671263330735,"PIPO_spring_o"
"PIPO","spring","o",55,25,99.9402682600288,"PIPO_spring_o"
"PIPO","spring","o",55,380,27.9690700197784,"PIPO_spring_o"
"PIPO","spring","o",55,160,96.3548685067479,"PIPO_spring_o"
"PIPO","spring","o",55,50,100.708942853592,"PIPO_spring_o"
"PIPO","spring","o",55,50,100.177803738869,"PIPO_spring_o"
"PIPO","spring","o",55,25,98.3250049984771,"PIPO_spring_o"
"PIPO","spring","o",55,620,25.0877337345176,"PIPO_spring_o"
"PIPO","spring","o",55,620,-18.5002883873007,"PIPO_spring_o"
"PIPO","spring","o",55,620,-6.58744534721693,"PIPO_spring_o"
"PIPO","spring","o",55,0,100,"PIPO_spring_o"
"PIPO","spring","n",60,20,67.7686969703563,"PIPO_spring_n"
"PIPO","spring","n",60,65,10.5516808859001,"PIPO_spring_n"
"PIPO","spring","n",60,5,92.9948561736521,"PIPO_spring_n"
"PIPO","spring","n",60,5,84.3863362369556,"PIPO_spring_n"
"PIPO","spring","n",60,5,75.0305622362865,"PIPO_spring_n"
"PIPO","spring","n",60,10,78.101228406287,"PIPO_spring_n"
"PIPO","spring","n",60,155,2.97490310815748,"PIPO_spring_n"
"PIPO","spring","n",60,155,3.40718273532973,"PIPO_spring_n"
"PIPO","spring","n",60,155,-6.38208584348719,"PIPO_spring_n"
"PIPO","spring","n",60,110,9.64728639982937,"PIPO_spring_n"
"PIPO","spring","n",60,110,-29.9327046014063,"PIPO_spring_n"
"PIPO","spring","n",60,20,84.5289868758805,"PIPO_spring_n"
"PIPO","spring","n",60,20,93.7584927164024,"PIPO_spring_n"
"PIPO","spring","n",60,10,86.7486951676187,"PIPO_spring_n"
"PIPO","spring","n",60,10,76.9820124871199,"PIPO_spring_n"
"PIPO","spring","n",60,110,22.3515517742783,"PIPO_spring_n"
"PIPO","spring","n",60,65,22.4838301772188,"PIPO_spring_n"
"PIPO","spring","n",60,65,43.0022765141326,"PIPO_spring_n"
"PIPO","spring","n",60,0,100,"PIPO_spring_n"
"PIPO","spring","o",60,20,84.9460224698553,"PIPO_spring_o"
"PIPO","spring","o",60,5,98.6631127723161,"PIPO_spring_o"
"PIPO","spring","o",60,5,95.6359349035626,"PIPO_spring_o"
"PIPO","spring","o",60,5,98.2520786591816,"PIPO_spring_o"
"PIPO","spring","o",60,10,97.7633556073176,"PIPO_spring_o"
"PIPO","spring","o",60,155,-22.2130225217009,"PIPO_spring_o"
"PIPO","spring","o",60,155,15.1222216295439,"PIPO_spring_o"
"PIPO","spring","o",60,155,13.115807999029,"PIPO_spring_o"
"PIPO","spring","o",60,110,28.2457714504748,"PIPO_spring_o"
"PIPO","spring","o",60,110,-23.0095053536134,"PIPO_spring_o"
"PIPO","spring","o",60,20,99.5069389541523,"PIPO_spring_o"
"PIPO","spring","o",60,20,99.5660564990127,"PIPO_spring_o"
"PIPO","spring","o",60,10,98.7930175739463,"PIPO_spring_o"
"PIPO","spring","o",60,10,103.443626818736,"PIPO_spring_o"
"PIPO","spring","o",60,110,-5.23626609686138,"PIPO_spring_o"
"PIPO","spring","o",60,65,95.3333364796641,"PIPO_spring_o"
"PIPO","spring","o",60,65,87.5571820899619,"PIPO_spring_o"
"PIPO","spring","o",60,65,79.7376325523125,"PIPO_spring_o"
"PIPO","spring","o",60,0,98.9184193559038,"PIPO_spring_o"
"PIPO","spring","n",65,10,8.56710194960977,"PIPO_spring_n"
"PIPO","spring","n",65,30,15.054686707652,"PIPO_spring_n"
"PIPO","spring","n",65,50,12.9416922747785,"PIPO_spring_n"
"PIPO","spring","n",65,2,75.8540963774532,"PIPO_spring_n"
"PIPO","spring","n",65,5,68.5924348419017,"PIPO_spring_n"
"PIPO","spring","n",65,70,22.3640740140454,"PIPO_spring_n"
"PIPO","spring","n",65,70,1.11761461185653,"PIPO_spring_n"
"PIPO","spring","n",65,70,22.5404223064661,"PIPO_spring_n"
"PIPO","spring","n",65,50,4.68809537258545,"PIPO_spring_n"
"PIPO","spring","n",65,50,7.56987652656221,"PIPO_spring_n"
"PIPO","spring","n",65,30,5.96381248251397,"PIPO_spring_n"
"PIPO","spring","n",65,30,-21.018499190166,"PIPO_spring_n"
"PIPO","spring","n",65,10,38.8047410890713,"PIPO_spring_n"
"PIPO","spring","n",65,10,30.9026129109105,"PIPO_spring_n"
"PIPO","spring","n",65,5,86.9979085071052,"PIPO_spring_n"
"PIPO","spring","n",65,5,70.9783923922701,"PIPO_spring_n"
"PIPO","spring","n",65,2,85.4360904415423,"PIPO_spring_n"
"PIPO","spring","n",65,2,91.5924086178594,"PIPO_spring_n"
"PIPO","spring","n",65,0,100,"PIPO_spring_n"
"PIPO","spring","o",65,10,86.4608600464719,"PIPO_spring_o"
"PIPO","spring","o",65,30,48.0135829163756,"PIPO_spring_o"
"PIPO","spring","o",65,50,8.84702916475527,"PIPO_spring_o"
"PIPO","spring","o",65,2,99.9296956692035,"PIPO_spring_o"
"PIPO","spring","o",65,5,76.1559840758823,"PIPO_spring_o"
"PIPO","spring","o",65,70,-23.423296282231,"PIPO_spring_o"
"PIPO","spring","o",65,70,14.6874467232122,"PIPO_spring_o"
"PIPO","spring","o",65,50,19.1532935644944,"PIPO_spring_o"
"PIPO","spring","o",65,50,-16.6791149992989,"PIPO_spring_o"
"PIPO","spring","o",65,30,7.56838609115539,"PIPO_spring_o"
"PIPO","spring","o",65,30,0.186120253647917,"PIPO_spring_o"
"PIPO","spring","o",65,10,90.0475743773025,"PIPO_spring_o"
"PIPO","spring","o",65,10,96.3374603540173,"PIPO_spring_o"
"PIPO","spring","o",65,5,98.0825038001514,"PIPO_spring_o"
"PIPO","spring","o",65,5,99.5976506812445,"PIPO_spring_o"
"PIPO","spring","o",65,2,94.9195190454643,"PIPO_spring_o"
"PIPO","spring","o",65,2,102.82828532262,"PIPO_spring_o"
"PIPO","spring","o",65,70,8.7358495590188,"PIPO_spring_o"
"PIPO","spring","o",65,0,100,"PIPO_spring_o"
"PIPO","autumn","n",65,5,88.9087440397686,"PIPO_autumn_n"
"PIPO","autumn","n",65,5,83.6108025101862,"PIPO_autumn_n"
"PIPO","autumn","n",65,5,99.6102005152049,"PIPO_autumn_n"
"PIPO","autumn","n",65,10,99.2624179478866,"PIPO_autumn_n"
"PIPO","autumn","n",65,10,94.2420896154363,"PIPO_autumn_n"
"PIPO","autumn","n",65,10,76.8705372139099,"PIPO_autumn_n"
"PIPO","autumn","n",65,30,40.9572187332116,"PIPO_autumn_n"
"PIPO","autumn","n",65,30,46.9876826367201,"PIPO_autumn_n"
"PIPO","autumn","n",65,30,46.6007699300394,"PIPO_autumn_n"
"PIPO","autumn","n",65,50,24.1062002495161,"PIPO_autumn_n"
"PIPO","autumn","n",65,50,26.8332889250958,"PIPO_autumn_n"
"PIPO","autumn","n",65,50,-5.992892434495,"PIPO_autumn_n"
"PIPO","autumn","n",65,2,94.1351291191456,"PIPO_autumn_n"
"PIPO","autumn","n",65,2,95.0058997540915,"PIPO_autumn_n"
"PIPO","autumn","n",65,2,97.9272341989278,"PIPO_autumn_n"
"PIPO","autumn","n",65,70,6.57264048593268,"PIPO_autumn_n"
"PIPO","autumn","n",65,70,1.86039934245872,"PIPO_autumn_n"
"PIPO","autumn","n",65,70,5.75142080067129,"PIPO_autumn_n"
"PIPO","autumn","n",65,90,11.3545125997676,"PIPO_autumn_n"
"PIPO","autumn","n",65,90,-4.59241358072283,"PIPO_autumn_n"
"PIPO","autumn","n",65,90,-6.76209901904483,"PIPO_autumn_n"
"PIPO","autumn","n",65,0,100,"PIPO_autumn_n"
"PIPO","autumn","o",65,5,94.7773976152185,"PIPO_autumn_o"
"PIPO","autumn","o",65,5,95.2575779026661,"PIPO_autumn_o"
"PIPO","autumn","o",65,5,95.6726328768781,"PIPO_autumn_o"
"PIPO","autumn","o",65,10,107.8501058632,"PIPO_autumn_o"
"PIPO","autumn","o",65,10,92.7756714954462,"PIPO_autumn_o"
"PIPO","autumn","o",65,10,94.2839358870957,"PIPO_autumn_o"
"PIPO","autumn","o",65,30,68.4245948950548,"PIPO_autumn_o"
"PIPO","autumn","o",65,30,56.584983895912,"PIPO_autumn_o"
"PIPO","autumn","o",65,30,61.4628751072476,"PIPO_autumn_o"
"PIPO","autumn","o",65,50,23.9741012356348,"PIPO_autumn_o"
"PIPO","autumn","o",65,50,46.328059062619,"PIPO_autumn_o"
"PIPO","autumn","o",65,50,6.16699851412975,"PIPO_autumn_o"
"PIPO","autumn","o",65,2,99.006358452361,"PIPO_autumn_o"
"PIPO","autumn","o",65,2,96.7669580053757,"PIPO_autumn_o"
"PIPO","autumn","o",65,2,100.555256161546,"PIPO_autumn_o"
"PIPO","autumn","o",65,70,35.7698717172331,"PIPO_autumn_o"
"PIPO","autumn","o",65,70,6.50998924926616,"PIPO_autumn_o"
"PIPO","autumn","o",65,70,-13.9026103252795,"PIPO_autumn_o"
"PIPO","autumn","o",65,90,6.63380332079689,"PIPO_autumn_o"
"PIPO","autumn","o",65,90,0.896235084725495,"PIPO_autumn_o"
"PIPO","autumn","o",65,90,-7.5300384055224,"PIPO_autumn_o"
"PIPO","autumn","o",65,0,100,"PIPO_autumn_o"
"PIPO","autumn","n",60,5,101.164276453153,"PIPO_autumn_n"
"PIPO","autumn","n",60,5,100.937946998573,"PIPO_autumn_n"
"PIPO","autumn","n",60,5,98.0511058501324,"PIPO_autumn_n"
"PIPO","autumn","n",60,5,99.39468989882,"PIPO_autumn_n"
"PIPO","autumn","n",60,10,99.2483524033673,"PIPO_autumn_n"
"PIPO","autumn","n",60,10,99.5902179846382,"PIPO_autumn_n"
"PIPO","autumn","n",60,10,101.161429611995,"PIPO_autumn_n"
"PIPO","autumn","n",60,20,89.9919000031522,"PIPO_autumn_n"
"PIPO","autumn","n",60,20,98.8531121614261,"PIPO_autumn_n"
"PIPO","autumn","n",60,20,95.564576110028,"PIPO_autumn_n"
"PIPO","autumn","n",60,65,48.0388802635228,"PIPO_autumn_n"
"PIPO","autumn","n",60,65,37.9169555857387,"PIPO_autumn_n"
"PIPO","autumn","n",60,65,8.26023061697894,"PIPO_autumn_n"
"PIPO","autumn","n",60,110,20.6924349707887,"PIPO_autumn_n"
"PIPO","autumn","n",60,110,3.90098067085828,"PIPO_autumn_n"
"PIPO","autumn","n",60,200,5.8700019240799,"PIPO_autumn_n"
