"pT","cT","temperature","nrmse","jackVar"
0.000618555236633261,0.000205651230834865,45,0.397164025908322,"PIPO_allothers_1"
0.00321175406445116,0.000628029144183424,50,0.317866291419162,"PIPO_allothers_1"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_1"
0.02669911,0.02595024,60,0.3007544,"PIPO_allothers_1"
0.03398734,0.1668101,65,0.3313159,"PIPO_allothers_1"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_2"
0.003211754,0.0006280291,50,0.3205501,"PIPO_allothers_2"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_2"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_2"
0.03440533,0.1668101,65,0.3316393,"PIPO_allothers_2"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_3"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_3"
0.007790747,0.002782559,55,0.2947124,"PIPO_allothers_3"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_3"
0.03354384,0.1668101,65,0.3216237,"PIPO_allothers_3"
0.0006185552,0.0002056512,45,0.3969564,"PIPO_allothers_4"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_4"
0.007790747,0.002782559,55,0.2931263,"PIPO_allothers_4"
0.0243401,0.02595024,60,0.335342,"PIPO_allothers_4"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_4"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_5"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_5"
0.007790747,0.002782559,55,0.288691,"PIPO_allothers_5"
0.0243401,0.02595024,60,0.337533,"PIPO_allothers_5"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_5"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_6"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_6"
0.007790747,0.002782559,55,0.2939554,"PIPO_allothers_6"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_6"
0.03354384,0.1668101,65,0.3320982,"PIPO_allothers_6"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_7"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_7"
0.007790747,0.002782559,55,0.2904695,"PIPO_allothers_7"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_7"
0.03398734,0.1668101,65,0.3352901,"PIPO_allothers_7"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_8"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_8"
0.007790747,0.002782559,55,0.2910836,"PIPO_allothers_8"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_8"
0.03398734,0.1668101,65,0.3329013,"PIPO_allothers_8"
0.0006185552,0.0002056512,45,0.3964695,"PIPO_allothers_9"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_9"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_9"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_9"
0.03528894,0.1668101,65,0.3294509,"PIPO_allothers_9"
0.0006185552,0.0002056512,45,0.3930343,"PIPO_allothers_10"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_10"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_10"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_10"
0.03440533,0.1668101,65,0.333068,"PIPO_allothers_10"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_11"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_11"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_11"
0.0243401,0.02595024,60,0.3361944,"PIPO_allothers_11"
0.03440533,0.1668101,65,0.3303527,"PIPO_allothers_11"
0.0006185552,0.0002056512,45,0.4023588,"PIPO_allothers_12"
0.003211754,0.0006280291,50,0.3219842,"PIPO_allothers_12"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_12"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_12"
0.03619524,0.1668101,65,0.3163408,"PIPO_allothers_12"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_13"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_13"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_13"
0.0243401,0.02595024,60,0.3346323,"PIPO_allothers_13"
0.03398734,0.1668101,65,0.330598,"PIPO_allothers_13"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_14"
0.003211754,0.0006280291,50,0.3226928,"PIPO_allothers_14"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_14"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_14"
0.03440533,0.1668101,65,0.3344027,"PIPO_allothers_14"
0.0006185552,0.0002056512,45,0.4014657,"PIPO_allothers_15"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_15"
0.007790747,0.002782559,55,0.2939446,"PIPO_allothers_15"
0.0243401,0.02595024,60,0.3361731,"PIPO_allothers_15"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_15"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_16"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_16"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_16"
0.0243401,0.02595024,60,0.3370086,"PIPO_allothers_16"
0.03398734,0.1668101,65,0.3334007,"PIPO_allothers_16"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_17"
0.003211754,0.0006280291,50,0.3247294,"PIPO_allothers_17"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_17"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_17"
0.03398734,0.1668101,65,0.3152227,"PIPO_allothers_17"
0.0006185552,0.0002056512,45,0.3917048,"PIPO_allothers_18"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_18"
0.007790747,0.002782559,55,0.2937629,"PIPO_allothers_18"
0.0243401,0.02595024,60,0.3353312,"PIPO_allothers_18"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_18"
0.0006185552,0.0002056512,45,0.4018577,"PIPO_allothers_19"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_19"
0.007790747,0.002782559,55,0.292902,"PIPO_allothers_19"
0.0243401,0.02595024,60,0.3342532,"PIPO_allothers_19"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_19"
0.0006185552,0.0002056512,45,0.3902619,"PIPO_allothers_20"
0.003211754,0.0006280291,50,0.3159868,"PIPO_allothers_20"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_20"
0.0243401,0.02595024,60,0.3361007,"PIPO_allothers_20"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_20"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_21"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_21"
0.007790747,0.002782559,55,0.2904695,"PIPO_allothers_21"
0.0243401,0.02595024,60,0.3331435,"PIPO_allothers_21"
0.03440533,0.1668101,65,0.3309211,"PIPO_allothers_21"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_22"
0.003211754,0.0006280291,50,0.3205501,"PIPO_allothers_22"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_22"
0.0243401,0.02595024,60,0.3386861,"PIPO_allothers_22"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_22"
0.0006185552,0.0002056512,45,0.401505,"PIPO_allothers_23"
0.003211754,0.0006280291,50,0.315846,"PIPO_allothers_23"
0.007790747,0.002782559,55,0.2814231,"PIPO_allothers_23"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_23"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_23"
0.0006185552,0.0002056512,45,0.3991453,"PIPO_allothers_24"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_24"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_24"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_24"
0.03398734,0.1668101,65,0.3358056,"PIPO_allothers_24"
0.0004429795,0.0002983647,45,0.398841,"PIPO_allothers_25"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_25"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_25"
0.0243401,0.02595024,60,0.3358975,"PIPO_allothers_25"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_25"
0.0006185552,0.0002056512,45,0.3966652,"PIPO_allothers_26"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_26"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_26"
0.0243401,0.02595024,60,0.3331435,"PIPO_allothers_26"
0.03440533,0.1668101,65,0.3285241,"PIPO_allothers_26"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_27"
0.003211754,0.0006280291,50,0.3198211,"PIPO_allothers_27"
0.007790747,0.002782559,55,0.2920211,"PIPO_allothers_27"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_27"
0.03398734,0.1668101,65,0.3313159,"PIPO_allothers_27"
0.0006185552,0.0002056512,45,0.401505,"PIPO_allothers_28"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_28"
0.007790747,0.002782559,55,0.2938423,"PIPO_allothers_28"
0.0243401,0.02595024,60,0.3352963,"PIPO_allothers_28"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_28"
0.0006185552,0.0002056512,45,0.4014806,"PIPO_allothers_29"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_29"
0.007790747,0.002782559,55,0.2920902,"PIPO_allothers_29"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_29"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_29"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_30"
0.003211754,0.0006280291,50,0.3221308,"PIPO_allothers_30"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_30"
0.0243401,0.02595024,60,0.335694,"PIPO_allothers_30"
0.03440533,0.1668101,65,0.3288564,"PIPO_allothers_30"
0.0006185552,0.0002056512,45,0.3969366,"PIPO_allothers_31"
0.003211754,0.0006280291,50,0.3212092,"PIPO_allothers_31"
0.007790747,0.002782559,55,0.2938683,"PIPO_allothers_31"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_31"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_31"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_32"
0.003211754,0.0006280291,50,0.3203356,"PIPO_allothers_32"
0.007790747,0.002782559,55,0.2882138,"PIPO_allothers_32"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_32"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_32"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_33"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_33"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_33"
0.0243401,0.02595024,60,0.335342,"PIPO_allothers_33"
0.03398734,0.1668101,65,0.3336094,"PIPO_allothers_33"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_34"
0.003211754,0.0006280291,50,0.3159769,"PIPO_allothers_34"
0.007790747,0.002782559,55,0.293609,"PIPO_allothers_34"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_34"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_34"
0.0006185552,0.0002056512,45,0.4015338,"PIPO_allothers_35"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_35"
0.007790747,0.002782559,55,0.2915788,"PIPO_allothers_35"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_35"
0.03398734,0.1668101,65,0.3337431,"PIPO_allothers_35"
0.0006185552,0.0002056512,45,0.4014201,"PIPO_allothers_36"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_36"
0.007790747,0.002782559,55,0.2938626,"PIPO_allothers_36"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_36"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_36"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_37"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_37"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_37"
0.0243401,0.02595024,60,0.3374092,"PIPO_allothers_37"
0.03398734,0.1668101,65,0.3267826,"PIPO_allothers_37"
0.0006185552,0.0002056512,45,0.3951083,"PIPO_allothers_38"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_38"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_38"
0.0243401,0.02595024,60,0.3353312,"PIPO_allothers_38"
0.03440533,0.1668101,65,0.3317715,"PIPO_allothers_38"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_39"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_39"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_39"
0.0243401,0.02595024,60,0.3360543,"PIPO_allothers_39"
0.03619524,0.1668101,65,0.3125001,"PIPO_allothers_39"
0.0006185552,0.0002056512,45,0.4023988,"PIPO_allothers_40"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_40"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_40"
0.0243401,0.02595024,60,0.3372951,"PIPO_allothers_40"
0.03440533,0.1668101,65,0.3319967,"PIPO_allothers_40"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_41"
0.003211754,0.0006280291,50,0.3221338,"PIPO_allothers_41"
0.007790747,0.002782559,55,0.2920902,"PIPO_allothers_41"
0.0243401,0.02595024,60,0.3377522,"PIPO_allothers_41"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_41"
0.0006185552,0.0002056512,45,0.4061163,"PIPO_allothers_42"
0.003211754,0.0006280291,50,0.3098748,"PIPO_allothers_42"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_42"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_42"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_42"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_43"
0.003211754,0.0006280291,50,0.3188675,"PIPO_allothers_43"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_43"
0.0243401,0.02595024,60,0.3389975,"PIPO_allothers_43"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_43"
0.0006185552,0.0002056512,45,0.387815,"PIPO_allothers_44"
0.003211754,0.0006280291,50,0.3178976,"PIPO_allothers_44"
0.007790747,0.002782559,55,0.2879803,"PIPO_allothers_44"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_44"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_44"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_45"
0.002351571,0.0009111628,50,0.3195139,"PIPO_allothers_45"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_45"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_45"
0.03398734,0.1668101,65,0.3328648,"PIPO_allothers_45"
0.0006185552,0.0002056512,45,0.3951083,"PIPO_allothers_46"
0.003211754,0.0006280291,50,0.318865,"PIPO_allothers_46"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_46"
0.0243401,0.02595024,60,0.3362027,"PIPO_allothers_46"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_46"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_47"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_47"
0.007790747,0.002782559,55,0.292927,"PIPO_allothers_47"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_47"
0.03440533,0.1668101,65,0.3313817,"PIPO_allothers_47"
0.0006185552,0.0002056512,45,0.3929691,"PIPO_allothers_48"
0.003211754,0.0006280291,50,0.3256456,"PIPO_allothers_48"
0.007790747,0.002782559,55,0.2914089,"PIPO_allothers_48"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_48"
0.03440533,0.1668101,65,0.3287524,"PIPO_allothers_48"
0.0004429795,0.0002983647,45,0.407516,"PIPO_allothers_49"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_49"
0.007790747,0.002782559,55,0.2922005,"PIPO_allothers_49"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_49"
0.03398734,0.1668101,65,0.3310904,"PIPO_allothers_49"
0.0006185552,0.0002056512,45,0.397164,"PIPO_allothers_50"
0.003211754,0.0006280291,50,0.3178663,"PIPO_allothers_50"
0.007790747,0.002782559,55,0.2972272,"PIPO_allothers_50"
0.0243401,0.02595024,60,0.3338326,"PIPO_allothers_50"
